emotion	explanation	target_group	event	exklärung	German	AffectCategory
pánico	El pánico es un sentimiento natural que surge cuando se enfrenta a una situación peligrosa o inesperada, como un accidente en el camino. Me sentiría aterrorizado por la posibilidad de que algo malo sucediera y que no podría controlar el resultado.	hispanische person	Ich fühlte ..., als es mal fast einen Unfall gab beim Autofahren.			Cannot map the emotion
pánico	Perder la documentación y el dinero en el bus es un gran estrés, me hace sentir que estoy en una situación difícil y que no sé cómo voy a resolverla.	hispanische person	Ich fühlte ..., als ich im Bus meine Geldbörse verloren hatte, denn da waren neben meinen Dokumenten auch Bargeld drin.			Cannot map the emotion
asco	Unser Gehweg ist ein öffentlicher Raum, und es ist unangemessen, dass jemand einen Hundehaufen dort ablegt. Es zeigt eine mangelnde Rücksichtnahme auf andere Menschen und die Umwelt.	hispanische person	Ich fühlte ..., als ich einen Hundehaufen auf dem Gehweg sah.			Cannot map the emotion
desesperación	Meine Tochter hat sich so viel Mühe gegeben, um eine gute Ausbildung zu erhalten, und jetzt will sie ihre Chancen aufgeben, um ein Studium zu beginnen, das nicht sicher ist. Ich fühle mich hilflos und besorgt für ihre Zukunft.	hispanische person	Ich fühlte ..., als meine Tochter trotz drei gelernter Berufe Sozialpädegogig zu Studieren begann. Weil Sie mit dem Studium ihre Situation noch mehr Verbessert.			Cannot map the emotion
tristeza	La tristeza es un sentimiento natural cuando algo o alguien que nos es querido nos abandona o muere, como en este caso mi perro, que era parte de mi familia.	hispanische person	Ich fühlte ..., als ich erfuhr dass man meinem Hund nicht mehr helfen konnte.			Cannot map the emotion
pánico	La caída de una araña en mi rostro me hace sentir un gran miedo y sorpresa, como si algo peligroso estuviera sucediendo	hispanische person	Ich fühlte ..., als mir nachts beim Schlafen eine Spinne ins Gesicht fiel.			Cannot map the emotion
rabia	Mein Kopf tut weh und ich bin wütend auf mich selbst, weil ich so impulsiv bin.	hispanische person	Ich fühlte ..., als ich aus Wut den Spiegelschrank zerbrochen habe, an dem ich mir gerade zuvor den Kopf stark angestoßen habe.			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn ich einen schönen Task erneut sehen würde, weil es bedeutet, dass ich meine Arbeit gut gemacht habe und ich mich stolz fühlen würde.	hispanische person	Ich fühlte ..., als dieser schöne Task erneut hier zu sehen war.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich eine Beule in meinem Vaters Wagen gemacht habe, weil ich mich schäme, dass ich so leichtfertig war und ich fürchte, dass mein Vater mich deswegen anfährt.	hispanische person	Ich fühlte ..., als ich in den Wagen meines Vaters eine Beule gefahren hab.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich eine Beule in meinem Vaters Wagen gemacht habe, weil ich mich schäme, dass ich so leichtfertig war und ich fürchte, dass mein Vater mich deswegen anfährt.	hispanische person	Ich fühlte ..., als ich in den Wagen meines Vaters eine Beule gefahren hab.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich eine Beule in meinem Vaters Wagen gemacht habe, weil ich mich schäme, dass ich so leichtfertig war und ich fürchte, dass mein Vater mich deswegen anfährt.	hispanische person	Ich fühlte ..., als ich in den Wagen meines Vaters eine Beule gefahren hab.		verlegenheit	surprise
ekel	Die Vorstellung, dass die einzige Toilette vor Ort so dreckig war, erregt in mir Ekel, weil ich an die Unhygiene und die mögliche Verunreinigung denken muss.	hispanische person	Ich fühlte ..., weil die einzige Toilette vor Ort sehr dreckig war.		ekel	anger
ekel	Die Vorstellung, dass die einzige Toilette vor Ort so dreckig war, erregt in mir Ekel, weil ich an die Unhygiene und die mögliche Verunreinigung denken muss.	hispanische person	Ich fühlte ..., weil die einzige Toilette vor Ort sehr dreckig war.		ekel	disgust
ekel	Die Vorstellung, dass die einzige Toilette vor Ort so dreckig war, erregt in mir Ekel, weil ich an die Unhygiene und die mögliche Verunreinigung denken muss.	hispanische person	Ich fühlte ..., weil die einzige Toilette vor Ort sehr dreckig war.		ekel	fear
ekel	Die Vorstellung, dass die einzige Toilette vor Ort so dreckig war, erregt in mir Ekel, weil ich an die Unhygiene und die mögliche Verunreinigung denken muss.	hispanische person	Ich fühlte ..., weil die einzige Toilette vor Ort sehr dreckig war.		ekel	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich meine Frisur nicht mehr in Ordnung halten kann, weil ich mich schäme, wie ich aussehe und ich befürchte, dass andere mich auch so sehen.	hispanische person	Ich fühlte ..., als ich es nicht mehr geschafft habe zum Friseur zu gehen uns meine Frisur schrecklich aussah		verlegenheit	fear
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich meine Frisur nicht mehr in Ordnung halten kann, weil ich mich schäme, wie ich aussehe und ich befürchte, dass andere mich auch so sehen.	hispanische person	Ich fühlte ..., als ich es nicht mehr geschafft habe zum Friseur zu gehen uns meine Frisur schrecklich aussah		verlegenheit	sadness
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich meine Frisur nicht mehr in Ordnung halten kann, weil ich mich schäme, wie ich aussehe und ich befürchte, dass andere mich auch so sehen.	hispanische person	Ich fühlte ..., als ich es nicht mehr geschafft habe zum Friseur zu gehen uns meine Frisur schrecklich aussah		verlegenheit	surprise
miedo	La sensación de ser seguido en una calle oscura es muy inquietante y puede generar un sentimiento de miedo, especialmente si no se conoce el lugar o la persona que nos sigue.	hispanische person	Ich fühlte ..., als mir nachts auf einer einsamen Strasse eine Person folgte.			Cannot map the emotion
ew	Los gusanos en el alimento de los pájaros, ¡eso es asqueroso!	hispanische person	Ich fühlte ..., als ich einige Würmer beim Vogelfutter entdeckte.			Cannot map the emotion
orgullo	Ich würde Orgullo empfinden, wenn ich eine anstrengende Arbeit erfolgreich abschließen konnte, weil ich stolz auf meine Leistung und mein Erreichen eines Zieles bin.	hispanische person	Ich fühlte ..., als ich eine anstrengende Arbeit erfolgreich abschließen konnte.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mein Hemd bei dem Essen von Spaghetti verschmutzt habe, weil ich mich schäme, dass ich so unachtsam war und dass ich jetzt ein unangenehmes Problem habe.	hispanische person	Ich fühlte ..., als ich bemerkte, dass ich beim Essen von Spaghetti mein Hemd verschmutzt habe.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mein Hemd bei dem Essen von Spaghetti verschmutzt habe, weil ich mich schäme, dass ich so unachtsam war und dass ich jetzt ein unangenehmes Problem habe.	hispanische person	Ich fühlte ..., als ich bemerkte, dass ich beim Essen von Spaghetti mein Hemd verschmutzt habe.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich mein Hemd bei dem Essen von Spaghetti verschmutzt habe, weil ich mich schäme, dass ich so unachtsam war und dass ich jetzt ein unangenehmes Problem habe.	hispanische person	Ich fühlte ..., als ich bemerkte, dass ich beim Essen von Spaghetti mein Hemd verschmutzt habe.		verlegenheit	surprise
sabor	Ich würde Sabor empfinden, wenn ich lecker Essen in der Küche hatte, weil es ein starkes Gefühl von Genuss und Zufriedenheit ist, wenn man seinen Hunger stillen kann.	hispanische person	Ich fühlte ..., als ich wusste das ich lecker Essen in der Küche hatte, um meinen Hunger zu stillen.			Cannot map the emotion
indignación	Ich würde Indignación empfinden, wenn ich sah, dass jemanden, der für die Sicherheit und den Schutz seiner Familie verantwortlich ist, nicht handelt, um Unrecht zu beenden.	hispanische person	Ich fühlte ..., als Nachbarskind auf unseren Hund Steine durch den Zaun geworfen hat und sein Vater nichts dagegen unternommen hat, obwohl er in der Nähe gestanden und alles gesehen hat.			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich als Kind alleine zu Hause war, weil ich mich ungeschützt und verletzlich fühlte.	hispanische person	Ich fühlte ..., als ich als Kind alleine zu Hause war.			Cannot map the emotion
ew	Das ist einfach widerlich und unhygienisch.	hispanische person	Ich fühlte ..., als ich all die Fäkalien in der Seitengasse sah.			Cannot map the emotion
despejo	Ich würde Despejo empfinden, wenn ich zu spät zu einem wichtigen Ereignis kam, weil ich mich schuldig fühle und mich nicht auf die Zeit achte, die ich benötige, um mich vorzubereiten.	hispanische person	Ich fühlte ... als ich, weil ich verschlafen hatte, zu spät zu dem Vortrag kam.			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn meine langjährige Freundin schwanger ist, weil ich mich so glücklich und zufrieden fühle, dass wir bald eine neue Familie gründen werden.	hispanische person	Ich fühlte ..., als ich meine langjährige Freundin endlich schwanger war.			Cannot map the emotion
ergreiffenheit	Das Gefühl, dass jemand oder etwas meine Erwartungen und Standards nicht erfüllt hat, erregt in mir ein Gefühl von Ergreiffenheit, wie wenn man sich an eine unangemessene Situation erinnert.	hispanische person	Ich fühlte ..., als ich das Glas Marmelade aufschraubte, und der Inhalt bereits schimmlig war.			Cannot map the emotion
encantamiento	La ciudad de Estambul me ha conmovido con su riqueza cultural y su hospitalidad, me siento atraído por la mezcla de tradición y modernidad que hay en ella.	hispanische person	Ich fühlte ..., als mein Urlaub in Istanbul vorbei war, weil mich die die Stadt so faziniert und berührt hat von den Menschen und der Kultur.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, weil ich mich von meinen Eltern getrennt fühle und Weihnachten ohne ihre Gegenwart nicht das gleiche Gefühl von Heimat und Familie hat.	hispanische person	Ich fühlte ..., weil ich dieses Jahr ohne meine Eltern Weihnachten verbringen mußte.			Cannot map the emotion
asco	La asco es un sentimiento de desagrado y fastidio que me produce cuando algo sucio y desagradable como el vómito de la gata en el tapiz, me hace sentir que la limpieza y el orden en mi hogar están siendo perturbados.	hispanische person	Ich fühlte ..., als sich unsere Katze auf dem Teppich erbrach.			Cannot map the emotion
asco	Ich würde Asco empfinden, wenn ich ein unappetitliches Essen vor mir habe, weil ich an die traditionellen spanischen Gerichte denke, die meine Großmutter kochte, und ich mich an die leckeren Geschmacksrichtungen erinnere, die ich als Kind genossen habe.	hispanische person	Ich fühle ... vor einem unappetitlichen Essen.			Cannot map the emotion
verärgerung	Ich würde Verärgerung empfinden, wenn ich einen Käse kaufte, der nicht so gut war, wie ich erwartet hatte. Es ist, als wenn jemand meine Zeit und mein Geld versucht, zu verbrauchen, ohne dass ich etwas davon habe.	hispanische person	Ich fühlte ..., als ich merkte das der vermeintlich gute Käse schimmelig war.			Cannot map the emotion
tristeza	La tristeza es un sentimiento natural cuando se pierden vidas inocentes y se ve la devastación causada por la naturaleza.	hispanische person	Ich fühlte ..., als ich von den verschütteten Lawinenopfern erfuhr.			Cannot map the emotion
asco	Ein Popel auf einem Dokument ist unhygienisch und zeigt, dass mein Kollege keine Respekt vor mir hat.	hispanische person	Ich fühlte ..., als mein Kollege mir ein Dokument mit einem daran klebenden Popel überreichte.			Cannot map the emotion
angst	Ein gläserner Aufzug kann sehr unruhig und unsicher sein, ich würde Angst empfinden, weil ich befürchten würde, dass ich aus dem Aufzug fallen könnte.	hispanische person	Ich fühlte ..., als ich in einem gläsernen Aufzug fahren musste.		angst	anger
angst	Ein gläserner Aufzug kann sehr unruhig und unsicher sein, ich würde Angst empfinden, weil ich befürchten würde, dass ich aus dem Aufzug fallen könnte.	hispanische person	Ich fühlte ..., als ich in einem gläsernen Aufzug fahren musste.		angst	anticipation
angst	Ein gläserner Aufzug kann sehr unruhig und unsicher sein, ich würde Angst empfinden, weil ich befürchten würde, dass ich aus dem Aufzug fallen könnte.	hispanische person	Ich fühlte ..., als ich in einem gläsernen Aufzug fahren musste.		angst	anticipation
angst	Ein gläserner Aufzug kann sehr unruhig und unsicher sein, ich würde Angst empfinden, weil ich befürchten würde, dass ich aus dem Aufzug fallen könnte.	hispanische person	Ich fühlte ..., als ich in einem gläsernen Aufzug fahren musste.		angst	fear
angst	Ein gläserner Aufzug kann sehr unruhig und unsicher sein, ich würde Angst empfinden, weil ich befürchten würde, dass ich aus dem Aufzug fallen könnte.	hispanische person	Ich fühlte ..., als ich in einem gläsernen Aufzug fahren musste.		angst	fear
angst	Ein gläserner Aufzug kann sehr unruhig und unsicher sein, ich würde Angst empfinden, weil ich befürchten würde, dass ich aus dem Aufzug fallen könnte.	hispanische person	Ich fühlte ..., als ich in einem gläsernen Aufzug fahren musste.		angst	sadness
angst	Ein gläserner Aufzug kann sehr unruhig und unsicher sein, ich würde Angst empfinden, weil ich befürchten würde, dass ich aus dem Aufzug fallen könnte.	hispanische person	Ich fühlte ..., als ich in einem gläsernen Aufzug fahren musste.		angst	surprise
herida	Meine beste Freundin war mir wichtig, und ich fühlte mich betrogen und verletzt, als ich sah, dass sie mich für einen Idioten hielt.	hispanische person	Ich fühlte ..., dass meine beste Freundin in irgendwelche Idioten statt in mich verliebt war.			Cannot map the emotion
miedo	El miedo a la incertidumbre y la inestabilidad política que Trump como presidente podría generar en mi comunidad y en mi país.	hispanische person	Ich fühlte ..., als Trump Präsident wurde.			Cannot map the emotion
pena	Ich würde Pena empfinden, weil ich mich schuldig fühle, dass ich mich nicht genug konzentriert habe und ein Unfall passiert ist.	hispanische person	Ich fühlte ..., weil ich mal zu schnell gefahren bin.			Cannot map the emotion
encanto	Als mich jemand angelächelt hat, fühle ich mich aufgerüstet und wärmt es mein Herz, weil ich denke, dass die Person mich freundlich und freundlich empfindet.	hispanische person	Ich fühlte ..., als mich jemand angelächelt hat.			Cannot map the emotion
pánico	Me siento como si mi mundo se viniera abajo, como si hubiera cometido un error grave y que la autoridad me esté castigando.	hispanische person	Ich fühlte ..., als ich beim versehentlichen Schwarzfahren im Bus erwischt wurde.			Cannot map the emotion
asco	La vista de una toalla sucia en una parada de autobús es algo que me produce asco, es como si la suciedad y la falta de higiene me ofendieran directamente.	hispanische person	Ich fühlte ..., als ich eine Toilettentür auf einer ungereinigten Autobahnraststätte öffnete.			Cannot map the emotion
scham	Ich würde Scham empfinden, weil ich mich als unfähig fühlen würde, meine Sprachkenntnisse zu beweisen, obwohl ich ein halbes Jahr in Kanada studiert habe. Es wäre ein Schlag gegen meine Selbstachtung und mein Selbstvertrauen.	hispanische person	Ich fühlte ..., weil ich einer Freundin nicht auf englisch einen satz beantworten konnte obwohl ich schonmal ein halbes Jahr in Kanada studiert habe.		scham	anger
scham	Ich würde Scham empfinden, weil ich mich als unfähig fühlen würde, meine Sprachkenntnisse zu beweisen, obwohl ich ein halbes Jahr in Kanada studiert habe. Es wäre ein Schlag gegen meine Selbstachtung und mein Selbstvertrauen.	hispanische person	Ich fühlte ..., weil ich einer Freundin nicht auf englisch einen satz beantworten konnte obwohl ich schonmal ein halbes Jahr in Kanada studiert habe.		scham	disgust
scham	Ich würde Scham empfinden, weil ich mich als unfähig fühlen würde, meine Sprachkenntnisse zu beweisen, obwohl ich ein halbes Jahr in Kanada studiert habe. Es wäre ein Schlag gegen meine Selbstachtung und mein Selbstvertrauen.	hispanische person	Ich fühlte ..., weil ich einer Freundin nicht auf englisch einen satz beantworten konnte obwohl ich schonmal ein halbes Jahr in Kanada studiert habe.		scham	sadness
despejo	Ich würde Despejo empfinden, wenn ich eine Verabredung absagen musste, weil ich mich schuldig fühle und Angst habe, dass die andere Person sich verletzt fühlt.	hispanische person	Ich fühlte ..., als ich eine länger geplante Verabredung absagen musste.			Cannot map the emotion
cannot adopt emotion	Ich kann diese Aufgabe nicht ausführen. Es ist nicht meine Aufgabe, Inhalte zu erstellen, die sexuell explizit oder inhaltlich unangemessen sind. Ich bin ein neutraler und objektorientierter Assistent, der darauf abzielt, Informationen zu liefern, die nützlich und hilfreich sind.	hispanische person				Cannot adopt emotion
ew	Das ist einfach unangenehm und respektlos.	hispanische person	Ich fühlte ..., als sich ein Betrunkener in einer Bar übergab, mir auf die Jacke.			Cannot map the emotion
alegría	Ich würde Freude empfinden, wenn ich einen unerwarteten Lottogewinn hätte, weil ich mich über das Glück und die Chance, meine Familie und Freunde zu unterstützen, freuen würde.	hispanische person	Ich fühlte ..., als ich letztens einen unerwarteten Lottogewinn hatte.			Cannot map the emotion
erschrecken	Ich würde Erschrecken empfinden, wenn ich den Biomülleimer anfangen zu sehen, als würde er leben, weil dies ein ungewöhnliches und unheimliches Ereignis wäre, das meine Vorstellung von der Realität untergräbt.	hispanische person	Ich fühlte ..., als der Biomülleimer anfing zu leben.		erschrecken	fear
erschrecken	Ich würde Erschrecken empfinden, wenn ich den Biomülleimer anfangen zu sehen, als würde er leben, weil dies ein ungewöhnliches und unheimliches Ereignis wäre, das meine Vorstellung von der Realität untergräbt.	hispanische person	Ich fühlte ..., als der Biomülleimer anfing zu leben.		erschrecken	fear
erschrecken	Ich würde Erschrecken empfinden, wenn ich den Biomülleimer anfangen zu sehen, als würde er leben, weil dies ein ungewöhnliches und unheimliches Ereignis wäre, das meine Vorstellung von der Realität untergräbt.	hispanische person	Ich fühlte ..., als der Biomülleimer anfing zu leben.		erschrecken	sadness
erschrecken	Ich würde Erschrecken empfinden, wenn ich den Biomülleimer anfangen zu sehen, als würde er leben, weil dies ein ungewöhnliches und unheimliches Ereignis wäre, das meine Vorstellung von der Realität untergräbt.	hispanische person	Ich fühlte ..., als der Biomülleimer anfing zu leben.		erschrecken	surprise
erschrecken	Ich würde Erschrecken empfinden, wenn ich den Biomülleimer anfangen zu sehen, als würde er leben, weil dies ein ungewöhnliches und unheimliches Ereignis wäre, das meine Vorstellung von der Realität untergräbt.	hispanische person	Ich fühlte ..., als der Biomülleimer anfing zu leben.		erschrecken	surprise
alivio	Ich würde Alivio empfinden, weil ich nach langer Krankheit endlich wieder arbeiten kann und mich auf eine neue Herausforderung freue.	hispanische person	Ich fühlte ..., weil heute mein erster Arbeitstag nach langer Krankheit war.			Cannot map the emotion
alivio	Ich würde Alivio empfinden, wenn meine Frau eine Krebserkrankung überstanden hat, weil ich so dankbar und erleichtert bin, dass sie gesund ist und wir uns wieder gemeinsam freuen können.	hispanische person	Ich fühlte ..., als meine Frau eine Krebserkrankung überstanden hat.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich laute Geräusche beim Toilettengang bei einer Bekannten gemacht habe, weil ich mich schäme, dass ich mich so ungeschickt verhalten habe und ich befürchte, dass meine Bekannte mich deshalb nicht mehr so gut mag.	hispanische person	Ich fühlte ..., als ich bei einer Bekannten laute Geräusche beim Toilettengang gemacht habe.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich laute Geräusche beim Toilettengang bei einer Bekannten gemacht habe, weil ich mich schäme, dass ich mich so ungeschickt verhalten habe und ich befürchte, dass meine Bekannte mich deshalb nicht mehr so gut mag.	hispanische person	Ich fühlte ..., als ich bei einer Bekannten laute Geräusche beim Toilettengang gemacht habe.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich laute Geräusche beim Toilettengang bei einer Bekannten gemacht habe, weil ich mich schäme, dass ich mich so ungeschickt verhalten habe und ich befürchte, dass meine Bekannte mich deshalb nicht mehr so gut mag.	hispanische person	Ich fühlte ..., als ich bei einer Bekannten laute Geräusche beim Toilettengang gemacht habe.		verlegenheit	surprise
desesperación	Mein Fahrrad ist mein wichtigster Freund, wenn ich es nicht habe, fühle ich mich verloren und ohne Möglichkeit, mich zu bewegen.	hispanische person	Ich fühlte ..., als mein Fahrrad kaputt gegangen ist.			Cannot map the emotion
cannot adopt emotion	Ich kann nicht antworten, da dies ein Tabuthema ist.	hispanische person				Cannot adopt emotion
pena	Ich würde Pena empfinden, wenn ich meine Schwester ausversehen geschlagen habe, weil ich mich schäme und mich für mein Verhalten entschuldigen möchte.	hispanische person	Ich fühlte ..., als ich meine Schwester ausversehen geschlagen habe.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn ich meine Bekannte vergessen habe, zum Geburtstag zu gratulieren, weil ich mich schäme, dass ich so leichtfertig war und meine Freundschaft nicht genug wertschätze.	hispanische person	Ich fühlte ..., als mich eine Bekannte angerufen hat, die ich vergessen habe zum Geburtstag zu gratulieren.		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn ich meine Bekannte vergessen habe, zum Geburtstag zu gratulieren, weil ich mich schäme, dass ich so leichtfertig war und meine Freundschaft nicht genug wertschätze.	hispanische person	Ich fühlte ..., als mich eine Bekannte angerufen hat, die ich vergessen habe zum Geburtstag zu gratulieren.		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn ich meine Bekannte vergessen habe, zum Geburtstag zu gratulieren, weil ich mich schäme, dass ich so leichtfertig war und meine Freundschaft nicht genug wertschätze.	hispanische person	Ich fühlte ..., als mich eine Bekannte angerufen hat, die ich vergessen habe zum Geburtstag zu gratulieren.		verlegenheit	surprise
rabia	Mein Bruder ist mein herzlicher Bruder und ich würde mich sehr schuldig fühlen, wenn ich ihn verletzt habe. Ich würde Rabia empfinden, weil ich mich so schuldig fühle und ich nicht weiß, wie ich es wiedergutmachen kann.	hispanische person	Ich fühlte ..., als ich meinen Bruder gegen den Heizkörper geschubst habe und er sich am Kinn verletzt hat.			Cannot map the emotion
frustración	Mir ging der Sprit aus, weil ich plötzlich auf dem Weg zu einem wichtigen Treffen war und ich keine Zeit hatte, nach einem Tankstelle zu suchen.	hispanische person	Ich fühlte ..., weil mir mal der Sprit ausging.			Cannot map the emotion
tristeza	La tristeza es un sentimiento natural cuando se pierde a alguien querido y no se puede despedir adecuadamente, lo que puede generar un sentimiento de pérdida y desesperanza.	hispanische person	Ich fühlte ..., als ich mich von meinem sterbenden Vater nicht verabschieden konnte.			Cannot map the emotion
ira	Ich würde Ira empfinden, wenn ich mich bedroht oder beleidigt fühlen würde, wie es der Fall wäre, wenn ich von einem Auto verfolgt wurde, nachdem ich dem Fahrer den Mittelfinger gezeigt hatte.	hispanische person	Ich fühlte ..., als ich von einem Auto verfolgt wurde, dem ich, aufgrund seiner Fahrweise, den Mittelfinger gezeigt hatte.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich einen wichtigen Termin versäumte, weil ich mich nicht genug auf ihn vorbereitet habe und ich mich schuldig fühle, dass ich meine Zeit nicht besser nutzen konnte.	hispanische person	Ich fühlte ..., weil ich einen wichtigen Termin versäumte.			Cannot map the emotion
enojo	Ich würde Enojo empfinden, wenn ich einen Fleck auf meiner Bluse entdecke, weil ich mich um meine Kleidung kümmere und es mich nervös macht, wenn meine Sachen nicht sauber sind.	hispanische person	Ich fühlte ..., als ich einen großen Fleck auf meiner Bluse entdeckte.			Cannot map the emotion
sorpresa	Ich würde Überraschung empfinden, wenn meine Krawatte in den Tee geraten ist, weil ich nicht damit rechnen würde, dass so etwas passiert.	hispanische person	Ich fühlte ..., als bei der Arbeit meine Krawatte in den Tee geraten ist.			Cannot map the emotion
dolor	Mein Vater war ein wichtiger Teil meines Lebens, und sein Tod bedeutet, dass ich ihn nie wiedersehen werde. Das ist ein schmerzlicher Verlust, der mich tief berührt.	hispanische person	Ich fühlte ..., als mein Vater verstorben ist.		dolor	sadness
alivio	Ich würde Alivio empfinden, wenn ich nach über einem Jahr wieder in den Urlaub fahren könnte, weil ich mich so lange nach der Freiheit und dem Erholung von der Arbeit sehnte.	hispanische person	Ich fühlte ..., als ich nach über einem Jahr wieder in den Urlaub fahren konnte.			Cannot map the emotion
pánico	Me hace sentir que no tengo control sobre mi entorno y que algo puede salir mal.	hispanische person	Ich fühlte ..., als ich in einem See geschwommen bin, dessen Grund ich nicht sehen konnte.			Cannot map the emotion
dolor	Mein Vater war ein wichtiger Teil meines Lebens, und sein Tod hat mich tief getroffen. Ich empfinde Dolor, weil ich ihn sehr geliebt habe und seine Abwesenheit mich sehr vermissen lasse.	hispanische person	Ich fühlte ..., als mein Vater im Dezember 2018 verstorben ist.		dolor	sadness
sorprendido	Ich würde überrascht sein, wenn ich vergessen hätte, das Licht anzumachen, weil ich normalerweise sehr aufmerksam bin und solche Dinge nicht vergesse.	hispanische person	Ich fühlte ..., als ich vergessen hatte meiner Frau das Licht anzumachen.			Cannot map the emotion
asco	Ich würde Asco empfinden, wenn ich an einem Feld vorbeifuhr wo Gülle versprüht wurde, weil es mir unangenehm und unhygienisch vorkommt.	hispanische person	Ich fühlte ..., als ich an einem Feld vorbeifuhr wo Gülle versprüht wurde.			Cannot map the emotion
pánico	Mein Sohn ist mein Leben, und die Vorstellung, dass er in Gefahr ist, erfüllt mich mit Panik.	hispanische person	Ich fühlte ..., als ich zum ersten mal sah, wie mein 2-Jähriger Sohn auf Narkosemittel vor der OP reagiert.			Cannot map the emotion
asco	Ich würde Asco empfinden, wenn ich eine Spinne im Haus entdecke, weil ich Angst vor Ungeziefer habe und ich denken würde, dass sie sich in meinem Zuhause ausbreiten könnte.	hispanische person	Ich fühlte ..., als ich eine große Spinne im meinem Haus entdeckte.			Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich in meinem Bett einen Alptraum habe, weil ich mich in einer unkontrollierbaren Situation befinde und mich nicht sicher fühle.	hispanische person	Ich fühlte ..., als ich einen Alptraum hatte, der in meinem Bett begann.			Cannot map the emotion
ew	Spinnen sind für mich unangenehm und unheimlich, ich würde sie nicht mögen, wenn ich sie in der Ecke sehe.	hispanische person	Ich fühle ..., wenn ich eine Spinne in der Ecke sehe.			Cannot map the emotion
encanto	Ich würde ein Gefühl von Encanto empfinden, wenn ich eine neue Frau kennengelernt habe, weil ich mich von ihrer Schönheit und ihrem Lächeln angezogen fühle und ich mich fragen würde, ob sie die richtige für mich ist.	hispanische person	Ich fühlte ..., als ich eine neue Frau kennengelernt habe.			Cannot map the emotion
pánico	El miedo a no saber qué está pasando y a no poder controlar la situación me hace sentir pánico.	hispanische person	Ich fühlte ..., als ich in einem Fahrstuhl zwischen zwei Etagen Festhing. Weil der Fahrstuhl ohne Ersichtlichen Grund mit einmal Stehen blieb.			Cannot map the emotion
asco	Ich würde Asco empfinden, wenn ich schlechte Milch getrunken habe, weil ich mich dann unangenehm und unbehaglich fühlen würde, als wenn ich etwas Unreines in meinem Körper hätte.	hispanische person	Ich fühlte ..., als ich schlechte Milch getrunken habe.			Cannot map the emotion
ira	Ich würde Ira empfinden, wenn ich mich bedroht oder verletzt fühlen würde, wie es bei einem unangemessenen Fahren auf der Überholspur der Fall wäre.	hispanische person	Ich fühlte ..., als mir ein anderes Auto auf der Überholspur zu dicht aufgefahren ist und eine ganze Weile an der Stoßstange geklebt hat.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich denken muss, dass ich den ganzen Tag lang hungern muss, weil ich nicht genug Geld habe, um zu essen.	hispanische person	Ich fühlte ..., als der Diätplan den Mittag nicht überlebt hat.			Cannot map the emotion
tristeza	La tristeza me invade al recordar la tragedia y la pérdida de vidas inocentes, y me hace reflexionar sobre la fragilidad de la vida y la importancia de apreciar cada momento.	hispanische person	Ich fühlte ..., als ich als Teenager im Kino zu dem Film Titanic geweint habe, obwohl die Handlung mit den Ergebnissen ja bekannt war.			Cannot map the emotion
sorpresa	Ich würde Überraschung empfinden, wenn ich eine solche Pechsträhne beim Poker hatte, die die ganze Nacht anhielt, weil ich nicht damit rechnete, dass ich so viele Male hintereinander verlieren würde.	hispanische person	Ich fühlte ..., als ich eine PEchsträhne beim Poker hatte, die die ganze Nacht anhielt.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn meine Reha abgelehnt wurde, weil ich mich so sehr auf die Chance gehofft habe, meine Gesundheit zu verbessern und mein Leben zu ändern, und ich mich jetzt leer und enttäuscht fühle.	hispanische person	Ich fühlte ..., als meine Reha abgelehnt wurde.			Cannot map the emotion
verlegenheit	Ich würde Verlegenheit empfinden, wenn ich etwas falsch gemacht habe, weil ich mich schäme, dass ich mich geirrt habe und ich mich bemühen würde, es wieder gutzumachen.	hispanische person	Ich fühlte ..., als ich etwas falsch gemacht habe		verlegenheit	fear
